,WildfireYr1,WildfireYr2,WildfireYr3,WildfireYr4,WildfireYr5,WildfireYr6,WildfireYr7,WildfireYr8,WildfireYr9,WildfireYr10
294,0,66507.80871,0,0,0,0,0,0,0,0
295,0,0,0,0,37083.45832,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,142722.7976
300,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,81893.11988,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
303,0,0,0,288472.3791,0,0,0,0,0,0
304,0,0,20362.5219,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,33990.5088,83348.83867,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0
308,0,448536.4186,33356.94486,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0
310,0,0,316368.3865,0,0,174419.3915,0,382791.7058,0,0
311,0,0,0,0,0,0,46019.04176,0,0,0
312,0,36742.05213,0,0,0,0,0,0,0,153240.5635
313,0,178356.964,0,0,0,32983.37077,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0
317,0,34320.72299,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,1843092.244,0,0
319,0,0,0,0,0,0,0,0,0,0
320,0,0,140779.3825,0,0,0,0,0,0,0
321,0,0,0,0,94711.09141,51993.61157,0,0,0,0
322,0,0,0,0,0,0,0,0,11775.86604,0
323,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,67422.82877,0,0,0,0
326,12515.04359,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,60962.58451,0
328,0,0,0,0,199368.996,129355.3024,0,0,131004.8712,0
329,2379104.331,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0
332,0,0,0,63937.34293,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0
337,0,0,1135837.053,0,87832.16768,0,0,0,0,19839.75529
338,0,0,0,194694.6684,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0
340,0,0,24010.62146,72899.45601,0,0,0,0,0,0
341,0,1198890.698,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,48631.68673
343,24187.42089,0,0,0,0,0,0,967609.9971,0,0
344,0,0,53518.09055,0,0,0,0,0,0,0
345,0,31022.88492,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,892085.1426
349,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,53376.70751,34720.29582
354,0,29303.58245,0,0,0,0,0,0,0,0
355,0,0,20547.18473,244767.7796,0,42180.24483,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,142774.6811,0,0,0
360,0,0,0,17183.6788,59191.38522,0,0,0,0,0
361,0,0,0,0,0,0,983958.5533,0,0,0
362,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0
364,118673.6097,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0
366,0,44922.21464,0,0,0,0,0,0,0,135248.0788
367,0,0,287130.89,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0
371,0,9034247.5,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0
373,0,0,0,82007.47682,2899176.206,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,489600.6542,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,49597.77897
378,0,0,0,0,0,0,38481.91692,3245300.33,0,0
379,0,200995.8107,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0
381,0,0,32291.34315,0,0,0,0,0,0,0
382,0,0,0,0,0,0,59535.30098,0,0,0
383,0,0,0,0,0,0,0,302151.0384,0,0
384,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,178108.2031,0
389,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,137244.8353,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0
393,0,0,0,207313.6974,0,0,0,0,0,0
394,0,0,0,0,0,238289.8707,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0
396,0,0,59625.20072,0,0,0,0,0,0,0
397,0,0,177366.2625,0,0,0,0,0,0,0
398,0,0,0,528430.6196,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,447065.5348,0,0
402,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,32791.61037,0,0,0
404,0,0,0,0,0,0,0,76032.69109,0,0
405,0,0,17994.41816,0,0,0,201410.7357,0,0,0
406,0,0,0,0,0,0,0,0,0,0
407,0,0,0,95799.81547,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0
410,0,0,0,223527.82,0,0,0,0,116679.7896,0
411,0,0,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0,0,446.8629902,0
415,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,36496.28364
419,0,0,150035.5408,0,0,0,24795.19647,0,0,43449.3809
420,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,31760.30843,43197.0546,0
422,0,0,0,0,0,44273.03806,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0
424,243991.3058,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0
427,0,123173.8064,0,0,0,125046.9714,0,0,0,0
428,0,0,0,0,0,0,0,0,86952.42631,0
429,0,0,0,0,1218190.407,0,0,0,0,0
430,224432.7384,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,327891.8361,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0
434,0,0,0,161674.6482,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0
441,71804.47354,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,177519.6897,0,0,0,0,0
444,0,0,30314.2398,0,0,0,0,0,0,0
445,65645.15691,0,19790.0282,0,0,40485.84154,0,0,0,0
446,28478.75496,0,0,0,0,0,0,0,0,0
447,0,0,9562.741044,0,0,0,0,642382.4979,0,0
448,61050.79486,0,0,0,0,143730.5852,0,0,0,0
449,0,0,0,0,0,0,0,0,0,572673.6859
450,134569.5955,43117.39725,0,0,73474.09296,0,0,0,0,79694.85045
451,0,0,0,0,354693.4828,0,0,0,0,0
452,0,59251.13303,0,0,0,0,0,0,0,0
453,0,0,0,0,0,422168.1643,11541.46203,60559.02482,0,0
454,0,0,0,0,0,0,0,0,0,0
455,0,0,0,767120.3836,0,0,0,0,0,88225.08964
456,0,0,0,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0,1385061.348,0,24728.10454
458,0,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,106755.1206,0
461,0,0,0,39342.76545,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,154634.6569,0
465,0,0,180504.4972,0,0,0,0,0,0,0
466,18203.23603,0,30422.28976,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0
468,271522.5683,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,52040.80926,0,0,36088.71939,0
473,0,0,0,0,101202.003,0,0,0,0,0
474,0,0,105777.2876,0,0,0,0,133863.6369,0,0
475,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,130810.3271,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,328718.9654,0,0,459431.5804,0,0
481,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,1446936.113,0,0
483,0,0,0,0,0,0,0,0,0,31921.20845
484,0,0,0,0,0,0,0,0,0,0
485,138781.3701,0,0,0,0,0,0,0,0,0
486,0,0,0,0,239186.7214,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0
488,0,0,47509.32883,0,0,0,167712.6103,0,0,0
489,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,186422.2648,0,0
492,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,0
494,3578858.083,0,0,0,0,0,0,0,0,0
495,0,42397.64795,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,20287.28623,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0
500,0,0,0,141553.652,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,75202.46982,0,0
503,0,0,0,0,64474.31264,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,54646.2316,0,0
506,0,43588.45572,0,0,0,0,0,0,0,0
507,0,0,0,502314.4878,0,0,0,0,73069.55482,0
508,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0
511,0,0,129532.3362,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0,0,228903.9432
514,0,0,0,0,0,0,0,0,612373.1508,0
515,0,0,0,0,0,0,0,34996.02266,10467.45399,0
516,204315.958,0,0,0,0,0,0,60898.1528,0,0
517,0,0,0,0,26488.09539,0,0,215542.3014,0,0
518,0,0,0,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,0
520,0,0,0,18943.12213,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,37158.22854,0,0,0
524,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0
526,0,0,85485.23478,0,0,0,0,0,760743.8897,0
527,0,0,1998960.753,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0,38371.98987
529,0,0,0,0,0,0,0,0,0,0
530,0,5272525.636,0,28349.37395,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,54524.87226
533,0,0,0,0,0,0,0,0,0,0
534,0,47506.93459,0,0,0,0,0,0,0,0
535,0,492368.2331,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0,0
537,0,0,0,0,46323.6856,0,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,136040.7898,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,77324.42979,0,0,0
544,0,0,57618.1902,0,0,0,0,15159.4464,0,0
545,0,0,0,0,0,179608379.9,0,0,0,37456.70082
546,0,0,0,0,0,0,0,0,0,152329.397
547,0,0,0,1479125.083,0,0,0,0,0,32524.48803
548,373448.6951,4893472.678,0,0,0,0,0,0,0,0
