,HiWindLossYr1,HiWindLossYr2,HiWindLossYr3,HiWindLossYr4,HiWindLossYr5,HiWindLossYr6,HiWindLossYr7,HiWindLossYr8,HiWindLossYr9,HiWindLossYr10
313,0,1828.069446,33.70976642,541352.5835,0,0,0,0,0,0
314,14704.29002,0,0,0,0,0,3279.35267,0,0,0
315,0,0,9017.001182,0,0,17940.32965,0,186.7629719,0,0
316,3023.141154,0,0,0,0,0,197031.4107,7047.720589,0,6639.963083
317,0,0,0,0,0,0,0,194620.2422,0,0
318,146266.1626,160356.8453,0,5298.713436,0,0,0,0,17607.91422,1281.038342
319,0,0,24680.89179,0,0,0,33867.01968,10531.36356,0,0
320,0,0,0,39738.7433,0,207.5888527,0,0,0,0
321,0,0,0,0,5070286.79,0,0,3370593.403,54557.66014,0
322,0,0,0,65904.6485,0,67099.93428,0,1080.525922,0,0
323,0,0,0,0,0,9.616824823,26036.1717,0,0,0
324,0,5913.08925,0,101109.079,293.5986718,56891.22355,63312.80349,0,0,29997.54779
325,0,0,0,0,0,2231.574544,0,37202.81361,0,44367.36818
326,0,0,0,28569.19362,50044.96289,0,9407.874682,24583.53331,0,0
327,0,0,0,0,22010.82938,0,29591.1437,0,111418.6954,0
328,0,0,39625.67531,0,0,58936.04597,0,3035.182729,0,76485.93558
329,0,0,131380.4555,0,0,22237.60046,0,0,0,0
330,32320.93951,121694.9062,0,0,0,0,0,0,0,7782.988997
331,6409.961667,0,0,9421.951755,8662.17794,0,0,0,0,45476.02851
332,0,0,0,0,0,0,0,0,0,0
333,0,106.1003454,0,11770.74014,0,0,0,0,127515.1081,0
334,0,15817.23111,0,592.8054006,0,0,0,0,6625.946986,0
335,0,0,0,0,24808.89424,0,0,0,0,0
336,64459.44684,100242.3257,0,15541.79556,0,0,66976.76926,0,0,0
337,0,0,0,5200.282741,0,6593891.976,1407.308952,0,97063.12583,0
338,9213.135525,77697.73841,0,0,0,0,0,539021.4579,6872.097965,0
339,0,0,922.4226354,2632.405959,0,0,15314.51655,0,0,916.7253831
340,0,51941.40076,1734.099848,0,16635.43512,0,0,0,8515.546087,139911.3507
341,4356.822451,680.539739,0,0,0,4069.454228,0,0,0,0
342,0,0,82393.18787,8544.798273,333.4517366,0,0,6410.94887,0,0
343,0,0,0,0,0,0,0,0,0,0
344,0,0,3304.764254,4285.20395,0,0,0,13850.75165,0,0
345,0,0,0,0,0,0,0,0,0,806.336254
346,20717.09444,0,0,0,0,0,17827.68857,0,0,18498.25802
347,0,0,0,1142.789549,0,305730.4794,0,0,97868.80754,0
348,0,18239.58182,439535.8766,0,0,0,6689.230612,137062.994,0,0
349,9451.818375,0,0,0,0,0,0,37017.18528,0,24610.03146
350,0,0,53878.20899,10606.96288,0,5675.484532,0,0,0,0
351,0,0,0,0,0,659.7553307,0,0,0,0
352,18637.39347,0,0,0,447.6037359,4814.657774,48411.62257,0,0,0
353,0,0,90539.98048,0,0,0,0,0,19347.11146,6667.202348
354,0,55978.04391,0,0,0,0,4347.237829,0,0,0
355,0,0,0,0,0,0,15171.04208,15966.3623,0,12863.11888
356,10926.29601,0,0,0,0,0,0,0,0,0
357,55729.78616,0,0,14734.05643,0,50302.05247,0,0,0,40252.89049
358,0,0,31.91031087,0,103877.8854,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,16733.64908
360,0,0,0,0,0,0,251432.4628,772281.7257,0,3472.285669
361,0,0,3733.071105,0,0,0,0,0,0,24868.65041
362,0,1304313.006,0,3482.311394,0,0,2875.187491,0,0,16221.4006
363,0,0,0,6560.394562,0,0,0,38512.0963,0,0
364,0,0,0,0,0,0,0,2843.849683,0,0
365,0,0,0,0,0,14331.62776,4950.767656,2283.221928,0,0
366,0,229012.6347,2236.809551,0,0,0,46628.80007,0,0,0
367,0,0,5714.021452,0,0,36514.57903,0,0,0,0
368,0,17751.73017,0,0,0,0,0,0,0,410.9298518
369,0,0,0,0,0,0,12357.99334,0,0,0
370,0,0,0,0,0,0,0,21069.29398,0,0
371,198548.4987,0,0,0,0,514.6307067,11256.79493,0,0,0
372,21700.3027,0,0,876200.2218,0,55275.47461,0,0,0,0
373,0,0,10759.09828,0,0,28405.08186,21164.80604,0,0,0
374,30997.84021,0,0,91464.71971,14904.34554,0,0,0,0,0
375,0,0,0,1108.329141,987.6838712,16353.46646,1182.700288,19705.61626,0,214604.7388
376,0,0,0,0,15266.27641,0,0,0,0,130740.3336
377,4257.206914,0,0,0,0,21151.57647,0,4786.13225,60106.61021,0
378,0,0,129233.1015,14396.4557,0,0,0,0,0,0
379,0,0,0,0,0,47.50561742,0,0,733.1993031,80219.74074
380,0,0,16543.52803,125368.0444,97921.59271,0,0,7650.213324,0,0
381,0,1802.86118,40460.32963,0,0,0,109048.1646,0,0,23660.7045
382,0,0,0,0,0,6639.985988,0,5286.970826,1595.33527,0
383,0,87374.32926,0,82313.88438,43256.22535,0,0,0,0,0
384,0,0,0,0,0,0,5045.924049,8765.161365,0,0
385,0,0,13793.10188,0,0,0,0,20975.90014,109719.4819,0
386,0,0,0,0,6174.035345,0,0,8276.271045,0,9046.6955
387,3618.742026,0,0,139447.3115,0,257955.6217,0,213.5837817,0,0
