,OtherHazNetCostYr1_,OtherHazNetCostYr2_,OtherHazNetCostYr3_,OtherHazNetCostYr4_,OtherHazNetCostYr5_,OtherHazNetCostYr6_,OtherHazNetCostYr7_,OtherHazNetCostYr8_,OtherHazNetCostYr9_,OtherHazNetCostYr10_
173,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0
175,51357.20545,-47438.31624,0,0,107434.9804,0,9591308.042,0.296999726,0,0
176,0,0,0,0,0,4680196.392,-2979027.084,293413.3029,0,0
177,0,0,0,0,0,0,0,0,0.006379431,89773.95828
178,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,22754980.65,20609.22332,0,0,0,0,0,2520517.726,2237.455704,8736300.581
181,0,0,0,0,0.002601662,0,0,429081.6143,1.652592284,0
182,5721695.178,0,-4965297.755,0,0,191178.4666,0,0,0,1357.66511
183,0,796865.7277,0,0,0,0,0,0,0,18276006.65
184,0,0,0,0,0,0,0,0,115461.9842,279121.7349
185,0,0,0,10571713.69,-7784711.03,0,0,0,0,0
186,0,0,1328.303498,0,-919.9305494,0,78.35578253,0,-56.54616478,0
187,0,0,0,8640.836578,0,-5524.557945,0,0,5022392.687,-3761075.115
188,0,0,8238931.664,-6568681.497,0,0,0,0,0,0
189,0,1549312.171,10854673.9,0,11002112.3,656886.1181,0,0,0,0
190,2246.64804,0,0,623017.2032,12329208.34,-10213893.3,46.79668201,-42.01216699,8662171.699,-6244410.15
191,28151280.04,11357132,0,-32552937.98,0,-343143.3758,0,8220381.039,0,250766.7472
192,16066375.79,-5144380.778,0,-6264853.495,-1100.998768,8584863.037,-6424501.457,12006669.87,0,20570294.31
193,0,0,1088.779967,0,0,0,3682.343295,-2867.288447,0,0
194,0,0,0,0,0,0,0,0,0,0
195,0,67904.46481,0,0,1.3809E-06,-8.13874E-07,0,8850049.041,-6802165.652,0
196,0,0,0,0,0,0,3514610.183,0,0,0
197,0,0,7645961.085,-6493277.462,0,0,258779.6371,0,1885875.125,-1573658.189
198,275641.8389,0,0,28041.93168,-16011.37434,0,0,0,0,862.9130218
199,0,0,0,16383406.92,0,0,0,0,0,5534650.329
200,0,0,0,0,0,15279505.34,0,0,-9726611.448,0
201,16553.41293,-14450.80808,3525746.608,4069.987809,10576192.46,0,0,0,0,0
202,0,7106853.342,0,0,0,0,0,0,14360669.7,11544.14971
203,0,0,0,0,11434916.61,0,-9207346.391,1737933.649,795267.2192,0
204,0,8439023.144,0,0,-6278473.848,0,-25695.99165,0,0,0
205,468132.0682,0,29.05363976,154610.8943,-128927.8074,0,0,583.7429032,0,8895391.98
206,0,0,0,0,0,793497.7746,21.72572064,501712.6728,0,0
207,0,0,0,7009782.144,0,0,0,0,0,0
208,18495259.53,-13990982.37,0,0,0,0,0,0,10243132.27,-8912458.494
209,0,4896971.315,-21085.34008,0,0,0,0,0,0,0
210,0,0,0,0,2.838555235,0,0,0,0,0
211,0,0,0,0,6154095.972,-5104804.072,0,0,0,0
212,0,0,0,407201.0386,0,0,0,465898.3115,0,12490869.65
213,3362358.324,-3142258.326,1357592.019,0,0,0,0,0,0,0
214,7530942.006,0,-4896356.03,15994.54441,0,18316683.31,-14638641.03,0,306774.6603,0
215,0,0,0,0,0,0,8574164.622,-6246050.066,5199.360714,12629700.74
216,0,0,0,0,93.20532453,0,1844390.009,0,0,0
217,10.54857662,0,-7.052985448,0,0,0,0,0,0,0
218,2829749.119,0,147062.8564,0,-104672.9406,0,0,3321793.292,0,-2788918.353
219,0,0,0,0,0,0,0,2421075.19,0,0
220,0,8186503.113,28009.9483,0,0,0,0,0,0,145.3067494
221,0,0,0,0,2.121200117,88564.70948,5597881.41,-3907436.833,0,0
222,114785.9224,0,0,0,0,0,0,0,35974.35593,4473885.579
223,0,7725720.874,0,0,0,0,0,0,0,0
224,0,515921.5028,0,6855129.914,0,-5177615.976,0,0,0,6.054279288
225,0,573617.3748,6087716.152,0,5558729.851,13517206.73,-9968468.456,1846156.809,0,-1306880.514
226,0,0,0,0,0,0,11043200.24,0,0,0.684938447
227,1030233.927,-915827.3795,0,8271913.872,-7832360.575,270364.1538,-231313.5447,0,0,8758476.744
228,0,0,0,0,0,0,0,0,0,6751507.638
229,0,0,0,23594535.58,0,-21030754.56,203209.7998,-141367.3187,0,6323584.376
230,0,0,0,0,0,0,0,0,0,0
231,0,11749640.9,11756843.02,-7827391.786,4640987.787,-3343922.156,0,0,0,0
232,4386601.906,0,0,0,0,0,0,0,4222.328896,0
233,0,0,0,0,0,7088019.336,-37461.45534,-5656097.735,38.89018139,901.819921
234,975014.5811,15074044.17,0,0,-2600325.295,1678.702799,0,0,0,0
235,0,0,174.0161105,0,-150.8317646,0,0,0,0,420.1477887
236,73818.68853,0,0,22069.21987,0,0,0,0,0,0
237,0,0,0,0,0,0,481667.8896,0,0,10680666.31
238,0,0,0,167.1852201,0,42.20275504,12882566.38,-32.75617859,6583052.356,0.003797329
239,0,0,0,0,316.7034423,9068664.935,-6921814.628,0,0,0
240,0,7953042.292,4881499.279,0,-9434790.731,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,189.1377766,0,0,1035829.27
243,1673468.875,0,0,0,0,117870.7009,0,-109802.4352,0,9871980.136
