trial,sequence,event_id,economic_loss,insured_loss,pa_loss
1188,1,275,1062202566,53110128.28,32357525.29
1192,1,276,432657815.9,21632890.79,15014950.89
1193,1,277,837347554.6,41867377.73,26163263.87
1195,1,278,196243468.3,9812173.414,8502255.14
1197,1,279,1286180897,64309044.86,38527636.13
1203,1,280,168067685.9,8403384.297,7726074.254
1204,1,281,162211878.2,8110593.91,7564759.619
1206,1,282,190766649,9538332.449,8351380.804
1210,1,283,100447962.5,5022398.125,5863299.47
1211,1,284,96185844.49,4809292.224,5745887.485
1214,1,285,211370678.1,10568533.9,8918976.528
1215,1,286,321450039.9,16072502,11951421.04
1221,1,287,123866973.8,6193348.688,6508441.766
1232,1,288,854122932.4,42706146.62,26625388.66
1236,1,289,1167120614,58356030.71,35247786.97
1242,1,290,623883016.3,31194150.81,20282784.93
1244,1,291,324660170.6,16233008.53,12039853.09
1244,2,292,119804922.7,5990246.133,6396541.185
1254,1,293,1063963521,53198176.03,32406035.74
1260,1,294,319832586.9,15991629.34,11906863.77
1265,1,295,112849943.8,5642497.19,6204946.8
1268,1,296,750958605.9,37547930.29,23783438.17
1268,2,297,227557088.5,11377854.43,9364876.564
1269,1,298,1090012613,54500630.65,33123630.99
1279,1,299,96473572.14,4823678.607,5753813.749
1281,1,300,736012412.9,36800620.65,23371703.4
1291,1,301,378933690.4,18946684.52,13534969.29
1293,1,302,449060253.6,22453012.68,15466802
1295,1,303,117692028.3,5884601.413,6338335.587
1297,1,304,491811264.6,24590563.23,16644498.41
1303,1,305,120451479.4,6022573.972,6414352.403
1304,1,306,158066595.2,7903329.76,7450566.181
1310,1,307,205501127.3,10275056.36,8757283.302
1320,1,308,215142956.2,10757147.81,9022894.499
1320,2,309,539608519.9,26980425.99,17961207.75
1327,1,310,223513079.2,11175653.96,9253472.995
1328,1,311,178666427,8933321.349,8018046.278
1332,1,312,403566814.4,20178340.72,14213557.72
1340,1,313,174795060.6,8739753.028,7911398.641
1341,1,314,317080306.6,15854015.33,11831044.49
1344,1,315,136018668.7,6800933.435,6843194.257
1351,1,316,159821551.7,7991077.587,7498911.378
1353,1,317,442870840.2,22143542.01,15296297.26
1356,1,318,108206036.8,5410301.84,6077017.368
1361,1,319,220625470.3,11031273.51,9173925.714
1373,1,320,366834352.2,18341717.61,13201659.11
1391,1,321,257681406.6,12884070.33,10194735.33
1392,1,322,990518143.4,49525907.17,30382776.99
1394,2,323,521719971.7,26085998.59,17468417.56
1396,1,324,158794232,7939711.599,7470610.976
1413,1,325,181307577.5,9065378.874,8090804.17
1414,1,326,334954379.6,16747718.98,12323435.92
1415,1,327,237614702.7,11880735.13,9641941.733
1427,1,328,470630551.2,23531527.56,16061016.3
1436,1,329,629197057.1,31459852.85,20429175.08
1439,1,330,602559448.1,30127972.4,19695367.49
1440,1,331,1039265052,51963252.6,31725647.2
1442,1,332,298122202.6,14906110.13,11308790.39
1446,1,333,114950382.9,5747519.143,6262809.281
1446,2,334,454897239.7,22744861.98,15627598.14
1449,1,335,165180637.7,8259031.887,7646542.42
1451,1,336,186849465.2,9342473.259,8243470.998
1454,1,337,145819350.9,7290967.543,7113181.514
